1.0	var points-to (INS)	4259
1.5	var points-to (SENS)	4259
10.0	reachable variables (INS)	2264
10.5	reachable variables (SENS)	2264
2.0	array index points-to (INS)	3
2.5	array index points-to (SENS)	3
6.0	app array index points-to (INS)	1
6.5	app array index points-to (SENS)	1
3.0	instance field points-to (INS)	931
3.5	instance field points-to (SENS)	931
4.0	static field points-to (INS)	33
4.5	static field points-to (SENS)	33
7.0	app instance field points-to (INS)	628
7.5	app instance field points-to (SENS)	628
8.0	call graph edges (INS)	994
8.5	call graph edges (SENS)	994
9.0	non-reachable app concrete methods	2
11.0	reachable methods (INS)	331
11.5	reachable methods (SENS)	331
12.0	virtual call sites (statically)	842
13.0	reachable virtual call sites	837
14.0	polymorphic virtual call sites	7
15.0	null virtual call sites	80
15.5	empty virtual call sites	180
16.0	app virtual call sites (statically)	842
17.0	app reachable virtual call sites	837
18.0	app polymorphic virtual call sites	7
19.0	app null virtual call sites	80
19.5	app empty virtual call sites	180
20.0	casts (statically)	119
21.0	reachable casts	83
22.0	reachable casts that may fail	82
23.0	app casts (statically)	119
24.0	app reachable casts	83
25.0	app reachable casts that may fail	82
25.5	app reachable methods	279
60.0	Entry Points	253
61.0	Mock Objects	51
61.1	Mock Objects for Receivers	46
61.2	Mock Objects for Fields	0
61.3	Mock Objects for Arrays	2
61.4	Mock Objects for Formals	17
